EMC DELL DD DOW EXC RTE DIS DVN
-0.093939 -0.058241 0.007123 -0.003697 -0.0192 -0.007635 -0.024661 0.036739
-0.071906 -0.000421 0.013931 0.025304 0.018957 0.012658 -0.002528 0.029126
0.077477 0.058502 -0.007609 -0.002632 0.004449 -0.007353 0.023236 0.036085
0 0.006759 0.001917 0.002639 0.000805 0.005185 -0.013625 0.013203
-0.051003 -0.001975 0.001275 0.001316 0.001408 0.015721 0.015069 -0.002921
-0.037885 -0.022952 -0.00552 0.027933 -0.010044 -0.001693 -0.051546 -0.015773
0.045788 0.070879 0.021776 0.029412 0.025162 0.005329 0.043043 0.013049
0.055166 0.046899 0.016506 0.037267 0.004553 0.02241 -0.017924 0.00565
-0.041494 0.001806 -0.020144 -0.047605 0.00197 0.005185 0.020374 0.002247
-0.021645 0.007573 0.006713 0.01729 0.029892 0.015709 0.004576 0.047085
-0.024779 -0.012527 -0.009794 0.001236 0.000382 -0.009695 -0.016149 0.004497
0.026316 0.047843 -0.009259 -0.000309 -0.007444 0.007459 -0.000421 -0.019399
0.038904 -0.006918 0.003186 0.008027 0.004808 -0.001851 0.007158 0.008696
0.025532 -0.02473 0.000212 -0.007657 -0.004976 -0.009272 -0.008779 0.002155
0.00166 -0.041429 -0.00508 -0.009568 -0.005578 -0.009125 -0.010122 0.006882
-0.029826 -0.034277 0.012553 0.012777 0.01354 -0.009445 0.001278 -0.004704
-0.023057 -0.007716 0.018491 0.012308 0.000382 -0.000477 0.034894 0.007519
-0.024476 0.02605 0 -0.000304 0.006486 -0.009778 0.007813 0.027932
-0.027778 0.024252 0.012791 0.033749 0.003222 -0.000963 -0.008568 -0.004356
-0.015668 -0.00407 -0.003259 -0.008824 -0.021349 0.002652 -0.012346 -0.00625
0.052434 0.0026 -0.015124 -0.017507 0.017568 0.02188 -0.015417 0.014675
0.032029 -0.015932 -0.008093 -0.014799 0.009296 0.009176 -0.007617 -0.020455
-0.048276 -0.009413 -0.023013 -0.012569 -0.00188 0.006062 -0.010661 0.005273
-0.030797 -0.004561 0.017345 0.025613 -0.018832 -0.002781 -0.014655 -0.002937
0.041122 -0.009164 0.018101 0.014679 0.014203 -0.000465 0.001312 0.026305
0.070018 0.006166 -0.025222 -0.013864 0.00246 0.0093 0.008301 -0.010252
0.02349 0.039448 -0.001061 -0.004584 -0.004531 0.001152 -0.007799 0.021131
-0.031148 -0.021002 0.005308 -0.017808 -0.004362 0.011045 -0.006114 0.024954
-0.031303 -0.014302 -0.014361 -0.020944 0 0.000228 -0.01406 -0.033056
0.022707 0.021382 -0.020784 -0.007982 -0.005714 0 0.005348 -0.039713
-0.050384 -0.012336 0.017505 0.029289 -0.008812 -0.006598 0.030142 -0.002345
-0.028777 0.017411 0.00172 -0.000625 0.007151 0.014659 -0.005163 0.020299
-0.040741 -0.011533 0.000859 0.020025 -0.010747 -0.012867 -0.002163 -0.015707
-0.017374 0.010162 0.02145 0.027607 0.021339 0.019666 0.042479 0.010638
