date  hour minute second price size
20100104 9 33 19 57.67 100
20100104 9 33 20 57.67 100
20100104 9 33 21 57.7 200
20100104 9 33 21 57.67 100
20100104 9 33 21 57.68 150
20100104 9 33 22 57.68 100
20100104 9 33 22 57.67 100
20100104 9 33 22 57.67 100
20100104 9 33 24 57.68 100
20100104 9 33 24 57.67 100
20100104 9 33 25 57.68 100
20100104 9 33 26 57.68 100
20100104 9 33 26 57.68 100
20100104 9 33 26 57.68 100
20100104 9 33 27 57.68 100
20100104 9 33 27 57.7 300
20100104 9 33 27 57.7 100
20100104 9 33 28 57.6701 101
20100104 9 33 28 57.6701 1000
20100104 9 33 28 57.7 100
20100104 9 33 29 57.7 300
20100104 9 33 29 57.7 100
20100104 9 33 30 57.7 200
20100104 9 33 31 57.7 100
20100104 9 33 33 57.7 1000
20100104 9 33 33 57.7 400
20100104 9 33 33 57.7 100
20100104 9 33 33 57.7 200
20100104 9 33 33 57.7 100
20100104 9 33 33 57.7 100
20100104 9 33 42 57.7 100
20100104 9 33 42 57.7 100
20100104 9 33 43 57.7 100
20100104 9 33 43 57.7 300
20100104 9 33 47 57.7 100
20100104 9 33 48 57.69 200
20100104 9 33 48 57.69 100
20100104 9 33 50 57.68 100
20100104 9 33 50 57.68 100
20100104 9 33 50 57.68 100
20100104 9 33 50 57.68 700
20100104 9 33 50 57.68 163
20100104 9 33 50 57.68 100
20100104 9 33 50 57.68 100
20100104 9 33 50 57.68 100
20100104 9 33 51 57.68 100
20100104 9 33 51 57.68 100
20100104 9 33 51 57.69 100
20100104 9 33 53 57.67 100
20100104 9 33 53 57.67 100
20100104 9 33 53 57.68 100
20100104 9 33 53 57.67 100
20100104 9 33 53 57.67 100
20100104 9 33 53 57.68 100
20100104 9 33 53 57.68 100
20100104 9 33 53 57.68 100
20100104 9 33 53 57.68 100
20100104 9 33 53 57.68 100
20100104 9 33 54 57.67 100
20100104 9 33 54 57.67 100
20100104 9 33 54 57.68 100
20100104 9 33 55 57.65 100
20100104 9 33 55 57.68 200
20100104 9 33 55 57.68 200
20100104 9 33 55 57.68 300
20100104 9 33 55 57.65 100
