XOM UTX WAG XRX WMB WFC WY WMT VZ USB UPS UNH
0.014944 -0.008041 0.018632 0.016304 0.001843 0.009998 0.024141 0.008325 -0.001 0.011964 0.002354 -0.001028
0.011534 0.001474 0.014004 -0.006417 0.000307 -0.006456 -0.005506 0.014448 -0.002002 -0.013453 -0.000361 0.00456
-0.007763 -0.002796 -0.014938 -0.020452 -0.019926 -0.017544 -0.013841 -0.036216 -0.016249 0 -0.008854 -0.021083
0 -0.031287 -0.010873 0.013187 -0.01564 -0.013889 -0.047544 -0.024277 0.000204 -0.016942 -0.020602 -0.023332
0.008313 0.008531 -0.009257 -0.018438 -0.000318 -0.010731 -0.019525 0.000216 0.033639 -0.002102 -0.011541 0.016845
-0.026431 -0.282477 -0.043504 -0.005525 -0.035601 -0.016949 -0.098253 -0.048237 -0.017752 -0.013901 -0.051412 -0.028464
-0.016687 0.033053 0.007326 -0.05 -0.067568 0.005977 0.023542 0.030682 0.038153 -0.01666 -0.004368 -0.031158
-0.027102 -0.028938 -0.004848 -0.099415 -0.053022 0.007998 -0.024018 0.003749 0.042553 -0.065595 -0.043868 -0.012
-0.036188 -0.126128 -0.024056 -0.046753 -0.010078 -0.025618 -0.046924 -0.00308 -0.012059 -0.086471 0.033368 -0.005506
-0.032145 0.014649 -0.0078 -0.084469 -0.019608 -0.012331 0.002188 -0.014346 -0.048826 -0.01374 0.003027 -0.023775
0.000837 0.055621 0.025157 0.099702 0.011923 0.016961 0.037336 0.058665 0.026653 0.083591 0.002414 0.02769
0.011712 0.049327 0 0.041949 -0.029266 0.008802 0.006946 0.023689 0.0375 0.016667 0.029707 0.022399
-0.007442 -0.04594 0.002454 0 -0.021535 0.002755 -0.005226 0.022314 -0.003892 0.004098 -0.036062 0.041435
0.066926 0.013438 0.040392 -0.054545 0.020808 0.000687 -0.007144 -0.001819 -0.002605 0.030118 0.00546 0.005945
0.025508 0.027624 0.012647 0.06456 0.070169 0.017162 0.030899 0.002227 0.009515 0.013248 0.045455 0.007728
-0.007868 0.016129 0.000871 -0.04 -0.010989 0.000225 -0.028536 0.005252 0.021992 -0.007214 -0.025779 0.006015
0.023024 0.03619 0.027858 0.045699 0.015556 0.003149 0.010144 0.045016 0.007233 0.02861 -0.010664 0.005381
-0.003751 0.043096 -0.001976 0.046273 0.032823 0.003363 0.009205 0.014038 -0.015081 0.002208 0.01996 0
0.018574 0.024085 -0.019802 0.007371 0.021893 -0.011173 -0.012645 -0.023326 0.001641 -0.03304 0.017613 0.012489
0.002711 -0.011472 0.013564 -0.102439 -0.00311 -0.027119 0.030023 0.017476 -0.001911 -0.159909 0.005385 0.007636
0.006144 0.003868 -0.006834 0.035326 0.017331 -0.032056 -0.021606 -0.024618 0.000551 -0.084599 -0.016259 -0.007578
